Data,Population,Population2,Average annual population growth %,Ages 0-14,Ages 15-64,Ages 65+,young,old,death,birth
Afghanistan,20.8,39.8,3.1,41,56,3,73,5,6,31
Albania,3.1,2.8,-0.4,17,68,15,25,23,8,11
Algeria,31,44.6,1.7,31,62,7,50,11,5,23
American Samoa,0.1,0.1,-0.2,..,..,..,..,..,6,13
Andorra,0.1,0.1,0.8,..,..,..,..,..,..,..
Angola,16.4,33.9,3.5,46,52,2,89,4,8,40
Antigua and Barbuda,0.1,0.1,1.2,22,69,10,32,14,6,15
Argentina,36.9,45.8,1,24,64,12,38,18,8,17
Armenia,3.1,3,-0.2,21,67,12,31,18,10,13
Aruba,0.1,0.1,0.8,17,68,15,26,22,9,12
Australia,19.2,25.7,1.4,19,64,17,30,26,6,12
Austria,8,9,0.5,14,66,19,22,29,10,9
Azerbaijan,8,10.1,1.1,23,69,7,34,10,8,13
"Bahamas, The",0.3,0.4,1.4,21,71,8,30,11,7,14
Bahrain,0.7,1.7,4.6,18,79,3,23,4,2,13
Bangladesh,127.7,166.3,1.3,26,68,5,38,8,6,18
Barbados,0.3,0.3,0.3,17,66,17,25,26,9,11
Belarus,10,9.3,-0.3,17,67,16,26,24,13,9
Belgium,10.3,11.6,0.6,17,63,20,27,31,11,10
Belize,0.2,0.4,2.3,29,66,5,44,8,5,20
Benin,6.9,12.5,2.8,42,55,3,76,6,9,35
Bermuda,0.1,0.1,0.2,..,..,..,..,..,9,8
Bhutan,0.6,0.8,1.3,25,69,6,36,9,6,17
Bolivia,8.4,11.8,1.6,30,63,8,48,12,7,21
Bosnia and Herzegovina,3.8,3.3,-0.7,14,67,19,21,28,11,8
Botswana,1.6,2.4,1.8,33,62,5,53,7,6,24
Brazil,174.8,214,1,20,70,10,29,14,7,13
Brunei Darussalam,0.3,0.4,1.3,22,72,6,30,8,5,14
Bulgaria,8.2,6.9,-0.8,15,64,22,23,34,18,9
Burkina Faso,11.6,21.5,2.9,44,53,2,82,5,8,37
Burundi,6.4,12.3,3.1,45,52,2,86,5,8,38
Cabo Verde,0.4,0.6,1.3,28,67,5,41,7,6,19
Cambodia,12.2,16.9,1.6,31,64,5,48,8,6,22
Cameroon,15.5,27.2,2.7,42,55,3,75,5,9,34
Canada,30.7,38.2,1,16,66,19,24,28,8,9
Cayman Islands,0,0.1,2.2,..,..,..,..,..,3,13
Central African Republic,3.6,4.9,1.4,43,54,3,79,5,12,35
Chad,8.4,16.9,3.4,46,51,3,90,5,12,41
Channel Islands,0.1,0.2,0.8,15,67,18,22,27,8,10
Chile,15.3,19.2,1.1,19,68,13,28,19,6,12
China,"1,262.60","1,412.40",0.5,18,70,12,25,18,7,9
"Hong Kong SAR, China",6.7,7.4,0.5,13,68,19,19,28,7,6
"Macao SAR, China",0.4,0.7,2.1,15,73,13,20,18,4,11
Colombia,39.6,51.3,1.2,22,69,9,32,14,6,14
Comoros,0.5,0.9,2.4,39,58,3,67,5,7,31
"Congo, Dem. Rep.",47.1,92.4,3.2,46,51,3,89,6,9,40
"Congo, Rep.",3.1,5.7,2.8,41,56,3,73,5,7,32
Costa Rica,4,5.1,1.2,21,69,11,30,15,5,13
Cote d'Ivoire,16.5,27.1,2.4,41,56,3,74,5,10,35
Croatia,4.5,3.9,-0.6,14,64,22,23,34,14,9
